"name","quantity","weightingms","weight_category"
"Godrej Real Good Chicken Breast Boneless",450,450,"LOW"
"Ching's Secret Manchurian Noodles",360,360,"LOW"
"Chakaachak Dustpan Grey",1,58,"LOW"
"MTR Breakfast Khatta Meetha Poha Mix",60,60,"LOW"
"Amul Cheese Spread Spicy Garlic",200,200,"LOW"
"Shubh kart - Surabhi Camphor Pouch 50g",50,50,"LOW"
"Amul Delicious Fat Spread - Cholesterol Free",100,100,"LOW"
"Mortein Cockroach Killer Spray, Crawling insect killer with Deep-Reach Nozzle",425,425,"LOW"
"Biryani /Pulav Mix",250,250,"LOW"
"Everest Powder - Tea Masala",100,100,"LOW"
"Dabur Honitus Herbal Cough Remedy Ayurvedic Syrup",100,100,"LOW"
"Sunfeast Farmlite Oats & Almonds Biscuits Packet",150,150,"LOW"
"Sugarlite 50% Less Calories Sugar Pouch",500,500,"LOW"
"Delight Nuts Berries Mix ",200,200,"LOW"
"Satyam Nighties Spices  Chilli Kashmiri",100,100,"LOW"
"Lotte Choco Pie Cocoa Pie",168,168,"LOW"
"Kellogg's Special K Original Corn Flakes",900,900,"LOW"
"Gowardhan Classic Block Fresh Paneer",200,200,"LOW"
"Britannia Nutrichoice 5 Grain Digestive Biscuits",200,200,"LOW"
"Popular Essentials Chiroti Sooji",500,500,"LOW"
"Keya Piri Piri | Exotic Spices Mix",80,80,"LOW"
"Eastern Fish Masala",100,100,"LOW"
"Nestle Ceregrow Multigrain Cereal with Milk and Fruits - 3 to 6 years",300,300,"LOW"
"Kitchens of India Dal Bukhara Gravy Mix",285,285,"LOW"
"Harpic Hygienic Toilet Cleaner Rim Block Jasmine",26,26,"LOW"
"Parachute Jasmine Hair Oil",190,190,"LOW"
"Pantai Sriracha Yellow Chilli Sauce",200,200,"LOW"
"iD Curd Cup",400,400,"LOW"
"Chakaachak Power Scrub (Pack of 2)",2,116,"LOW"
"Hershey's Hot Chocolate Powder",250,250,"LOW"
"Nestle Everyday Dairy Whitener",400,400,"LOW"
"Om Bhakti Gangajal Packed At Gangotri",220,220,"LOW"
"Lizol Disinfectant Surface & Floor Cleaner Liquid Citrus",975,975,"LOW"
"Dabur Gulabari Premium Rose Water",120,120,"LOW"
"The Whole Truth - 5 Grain Muesli No Added Sugar",350,350,"LOW"
"Saffola Gold Refined Cooking Oil (Jar)",2,2000,"medium"
"Hershey's Chocolate Milk Booster",450,450,"LOW"
"The Bake Shop Whole Wheat Multigrain Lavash",200,100,"LOW"
"ITC Master Chef Cheesy Corn Triangles",320,320,"LOW"
"Del Monte Eggless Mayo",500,500,"LOW"
"Veeba Sweet Onion Sauce",350,350,"LOW"
"McCain Masala - Fries",375,375,"LOW"
"24 Mantra Sona Masuri Brown Rice",5,5000,"bulk"
"Moov Pain Relief Specialist Spray",35,35,"LOW"
"Ching's Secret Instant Hot Garlic Noodles",60,60,"LOW"
"Mother's Recipe Tamarind Paste",200,200,"LOW"
"Satyam Nighties Spices  Chilli Pandi",100,100,"LOW"
"Palmolive Aroma Absolute Relax Shower Gel",250,250,"LOW"
"Prasuma Momos -  Cheesy Spicy Veg",24,24,"LOW"
"Oxi Green Dish Wash Liquid - Lemon",500,500,"LOW"
"Head & shoulders Anti Dandruff Shampoo Cool Menthol",180,180,"LOW"
"Kellogg's Real Honey Corn Flakes",630,630,"LOW"
"Satyam Thin Poha Patla",500,500,"LOW"
"MamyPoko Pants Extra Absorb Diapers, New Born",28,28,"LOW"
"Britannia Pav",250,250,"LOW"
"Borges Extra Virgin Olive Oil",250,250,"LOW"
"Mother's Recipe Pickle - Mango",500,400,"LOW"
"Kellogg's No Added Sugar Muesli",500,500,"LOW"
"Colgate Sensitive Everyday Protection Anticavity Toothpaste",40,40,"LOW"
"MTR Vegetable Upma",60,60,"LOW"
"Nestle Cerelac 5 Grains & Fruits Cereal",300,300,"LOW"
"Everest Saffron Kesar",0,1,"LOW"
"Scotch Brite Tough Scrubber Brush",1,58,"LOW"
"Nivea Soft Light Moisturizing Cream",100,100,"LOW"
"Palmolive Naturals Sea Minerals Liquid Hand Wash",250,250,"LOW"
"Satyam Puffed Rice Kurmura (A)",200,200,"LOW"
"Pampers Premium Care New Baby Pants",24,24,"LOW"
"24 Mantra Organic Pancharatna Dal - Split",500,500,"LOW"
"Oral-B Extra Soft Bristles Sensitive ",4,232,"LOW"
"Keya Oregano",9,9,"LOW"
"Amul Milk Compound Chocolate Slab",500,500,"LOW"
"On1y Mixed Herbs",14,14,"LOW"
"Smith & Jones Pasta Masala",54,54,"LOW"
"Pillsbury Atta/Godihittu - Chakki Fresh",5,5000,"bulk"
"Vim Dishwash Bar",300,300,"LOW"
"Nestle Nan Pro 4 Follow Up Formula Powder For Older Infants ",400,400,"LOW"
"Fine Life Cotton Balls",100,100,"LOW"
"Cadbury Chocobakes Chocolate Filled Cookies ",75,75,"LOW"
"Yogabar 100% Pure Peanut Butter Creamy & Yummy Unsweetened",400,400,"LOW"
"Popular Essentials Refined Sugar",1,1000,"medium"
"Om Bhakti Cow Dung Cakes ",5,290,"LOW"
"Epicurea Thai Jasmine Rice",500,500,"LOW"
"Mothers Recipe Papad Chana Masala",200,200,"LOW"
"Amul Cheese Slices",750,750,"LOW"
"Genteel Liquid Detegrent",2,2000,"medium"
"Weikfield Vanilla Custard Powder",500,500,"LOW"
"Dettol SKincare Handwash Value Refill",750,750,"LOW"
"Parle Hide & Seek Choco Rolls",75,75,"LOW"
"Head & Shoulders 2-in-1 Cool Menthol Anti Dandruff Shampoo + Conditioner",180,340,"LOW"
"Ching's Secret Tomato Instant Soup",15,16,"LOW"
"Eno Regular Fruit Salt Energy Powder",100,100,"LOW"
"Popular Essentials Mace/Javitri",20,20,"LOW"
"Britannia Burger Bun with Sesame Seed",100,100,"LOW"
"Ching's Secret Asian Hot Instant Soup",15,15,"LOW"
"Saffola Veggie Twist Masala Oats",500,500,"LOW"
"Del Monte Schezwan Sauce",190,190,"LOW"
"MTR Ready to Eat Pav Bhaji",300,300,"LOW"
"Godrej Real Good Chicken Kheema",450,450,"LOW"
"24 Mantra Organic Wheat Daliya ",500,500,"LOW"
"Gala Scrubber Pad",5,290,"LOW"
"Maggi Magic Cubes, Vegetarian Masala (Free 2 Cubes Inside)",48,48,"LOW"
"Colgate Visible White Toothpaste",100,100,"LOW"
"Switz Samosa Dough Sheets",50,50,"LOW"
"Mother Dairy Classic Curd",400,400,"LOW"
"Amul Happy Treats French Fries",425,425,"LOW"
"Godrej Expert Creme Hair Natural Brown Colour ",20,20,"LOW"
"Kellogg's Special K Original Corn Flakes",290,290,"LOW"
"Eveready Base B22 9-Watt LED Bulb",1,58,"LOW"
"Mamaearth 100% Natural Berry Blast Kids Toothpaste",50,50,"LOW"
"Ferrero Nutella Hazelnut Spread",180,180,"LOW"
"Whisper Bindazzz Nights XL + Sanitary Pad",7,406,"LOW"
"Parle Rusk Elaichi",300,300,"LOW"
"Johnson's Baby No More Tears Baby Shampoo",100,100,"LOW"
"Chik Hairfall Prevent Egg Shampoo",340,340,"LOW"
"Everest Chicken Masala",50,50,"LOW"
"Nivea Soft Light Moisturizer for Face Hand & Body Non-Sticky Cream with Vitamin E & Jojoba Oil",200,200,"LOW"
"Dabur Hajmola Imli Digestive Tablets",120,120,"LOW"
"Vicks Inhaler with Keychain",2,116,"LOW"
"Aashirvaad Superior MP Whole Wheat Atta",1,1000,"medium"
"Godrej Yummiez Chicken Nuggets",500,500,"LOW"
"Dabur - Chyawanprash",25,250,"LOW"
"D'lecta Shredded Mozzarella Cheese",140,140,"LOW"
"Lizol Disinfectant Surface & Floor Cleaner Liquid Jasmine",500,500,"LOW"
"Aashirvaad Suji Halwa With Jaggery",70,70,"LOW"
"Nivea Body Milk Lotion for Very Dry Skin",400,400,"LOW"
"Mamaearth Deeply Nourishing wash for Babies",200,200,"LOW"
"RRO Til Dil Premium Til Oil Bottle",1,1000,"medium"
"Colgate Plax Peppermint Mouthwash",250,250,"LOW"
"Popular Essentials Mustard Seeds Rai Yellow",100,100,"LOW"
